Area Code (M49),Area,Item,Element,Unit,Year,value,Sub-region Name,Food loss percentage,Efficiency Group,Efficiency_Ratio
660,Anguilla,Pesticides (total),Agricultural Use,t,2016,66.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",0.7517084282460137
660,Anguilla,Pesticides (total),Use per capita,kg/cap,2016,4.6,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.05239179954441913
660,Anguilla,Insecticides,Agricultural Use,t,2016,9.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.10250569476082005
660,Anguilla,Herbicides,Agricultural Use,t,2016,42.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.4783599088838269
660,Anguilla,Fungicides and Bactericides,Agricultural Use,t,2016,9.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.10250569476082005
660,Anguilla,Other Pesticides nes,Agricultural Use,t,2016,4.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.04555808656036447
028,Antigua and Barbuda,Pesticides (total),Agricultural Use,t,2016,180.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",2.050113895216401
028,Antigua and Barbuda,Pesticides (total),Use per area of cropland,kg/ha,2016,36.04,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.4104783599088838
028,Antigua and Barbuda,Pesticides (total),Use per capita,kg/cap,2016,2.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.022779043280182234
028,Antigua and Barbuda,Insecticides,Agricultural Use,t,2016,53.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.6036446469248292
028,Antigua and Barbuda,Herbicides,Agricultural Use,t,2016,119.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",1.355353075170843
028,Antigua and Barbuda,Fungicides and Bactericides,Agricultural Use,t,2016,8.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.09111617312072894
032,Argentina,Pesticides (total),Agricultural Use,t,2016,199908.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",2276.8564920273348
032,Argentina,Pesticides (total),Use per area of cropland,kg/ha,2016,4.87,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.05546697038724374
032,Argentina,Pesticides (total),Use per capita,kg/cap,2016,4.55,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.051822323462414575
032,Argentina,Pesticides (total),Use per value of agricultural production,g/Int$,2016,2.86,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.03257403189066059
032,Argentina,Insecticides,Agricultural Use,t,2016,5130.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",58.428246013667426
032,Argentina,Herbicides,Agricultural Use,t,2016,187210.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",2132.232346241458
032,Argentina,Fungicides and Bactericides,Agricultural Use,t,2016,4117.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",46.890660592255124
032,Argentina,Plant Growth Regulators,Agricultural Use,t,2016,42.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.4783599088838269
032,Argentina,Rodenticides,Agricultural Use,t,2016,17.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.19362186788154898
